B254        0 41 50.5  41 16 25.9 0.29  -421.0 12 4.9 -0.9 0.2  4.8
B522        0 41 50.95 40 52 48.2 0.11  -390.2 23 4.7 -0.4 0.6  9.1 e
B056-G117   0 41 51.16 40 57 40.2 0.24  -363.7  7 5.4 -0.0 0.1 14.  x
B057-G118   0 41 52.82 40 52 05.1 0.10  -411.1 21 5.1 -2.1 0.3 14.  x
B058-G119   0 41 53.00 40 47 09.7 0.15  -220.2 11 6.2 -1.1 0.1 14.  x
B059-G120   0 41 54.11 41 11 00.7 0.49  -262.1  8 5.7 -1.0 0.1 14.  x
B060-G121   0 41 57.01 41 05 14.5 0.13  -533.2 16 5.5 -1.8 0.1 14.  x
B061-G122   0 42 00.14 41 29 35.7 0.49  -275.2  5 6.0 -0.7 0.1 14.  x
B063-G124   0 42 00.88 41 29 09.5 0.49  -301.6  8 6.3 -0.8 0.1 13.8
B065-G126   0 42 01.93 40 40 13.1 0.17  -417.3 12 5.5 -0.9 0.2 14.  x
B064-G125   0 42 01.93 41 11 07.5 0.17  -302.4 10 5.7 -1.3 0.1 14.  x
B344-G127   0 42 02.97 41 52 02.2 0.13  -240.6  6 5.8 -1.0 0.1 14.  x
B067-G129   0 42 03.19 41 04 23.7 0.08  -356.8 15 5.2 -1.4 0.1 14.  x
B068-G130   0 42 03.21 40 58 50.2 0.45  -319.2  6 6.1 -0.2 0.1 14.  x
B257-V219   0 42 03.28 40 58 13.9 0.66  -476.4  6 5.7 -0.2 0.1 14.  x
B461-G131   0 42 04.24 42 03 26.6 0.10  -296.5  8 5.1 -0.6 0.1 13.7
B041D       0 42 04.72 41 16 47.3 0.64  -208.3 14 5.5 -1.8 0.4 14.  x
B070-G133 d 0 42 06.91 41 07 56.3 0.20  -275.8 22 5.6 -1.9 0.2 14.  x
B071        0 42 07.13 41 12 12.0 0.24  -550.7  8 5.1 -0.2 0.2  6.9
B073-G134   0 42 07.33 40 59 21.3 0.13  -504.0 10 5.8 -0.6 0.1 12.6
B072        0 42 07.44 41 22 47.6 0.78   -85.7  7 5.8 -0.7 0.1 12.0
B074-G135   0 42 08.04 41 43 21.6 0.16  -439.9  9 5.5 -1.5 0.1 14.  x
B075-G136   0 42 08.83 41 20 21.3 0.32  -168.6 11 5.4 -1.3 0.2 14.  x
MITA140     0 42 09.51 41 17 45.6 0.86  -319.4 12 6.3 -0.2 0.1 14.  x
B045D       0 42 09.87 41 21 14.5 0.41  -305.9 13 4.9 -0.3 0.3 14.  x
B076-G138   0 42 10.24 41 05 22.0 0.17  -537.0 14 5.5 -1.3 0.1 14.  x
B077-G139   0 42 11.14 41 07 33.9 0.46  -562.8  7 5.7 -0.8 0.1 14.  ex
B078-G140   0 42 12.17 41 17 58.9 0.43) -259.7 16 5.5 -1.0 0.2 14.  x
B080-G141   0 42 12.40 41 19 00.6 0.72  -255.0 21 5.8 -1.4 0.2 14.  x
B345-G143   0 42 14.12 40 17 36.5 0.19  -368.4 12 5.6 -1.5 0.1 14.  x
B462        0 42 14.72 42 01 36.7 0.13  -214.3 23 4.9 -2.8 0.3 14.  x
B082-G144   0 42 15.84 41 01 14.4 0.94  -370.5  8 6.7 -0.7 0.1 10.3
B083-G146   0 42 16.44 41 45 20.7 0.13  -337.3  6 5.3 -1.1 0.1 14.  x
B084        0 42 17.45 41 18 55.7 0.62  -325.8 10 5.6 -1.1 0.2 14.  x
B085-G147   0 42 18.24 40 39 57.2 0.16  -425.4 12 5.5 -1.7 0.2 14.  x
B086-G148   0 42 18.65 41 14 02.1 0.13  -189.0 19 6.1 -1.8 0.2 14.  ex
B087        0 42 19.81 41 38 16.2 0.24  -369.2  9 4.9 -1.0 0.2 14.  x,near star
B088-G150   0 42 21.07 41 32 14.2 0.53  -489.9 12 6.5 -1.8 0.1 14.  x
B090        0 42 21.08 41 02 57.5 0.15  -399.9  7 4.8 -0.8 0.2 14.  ex
B092-G152   0 42 22.38 41 08 08.7 0.11  -433.7 12 5.4 -1.0 0.1 14.  x
B347-G154   0 42 22.89 41 54 27.5 0.02  -266.4 26 5.4 -2.0 0.2 14.  x
B348-G153   0 42 22.92 41 52 28.4 0.16  -189.5  7 5.5 -0.8 0.1 14.  x
B093-G155   0 42 23.17 41 21 43.5 0.39  -456.7 22 5.7 -1.2 0.1 14.  x
B094-G156   0 42 25.06 40 57 17.7 0.22  -564.1  6 6.0 -0.4 0.1 14.  x
B095-G157   0 42 25.80 41 05 36.3 0.46  -111.2 10 6.1 -1.4 0.1 14.  x
B096-G158   0 42 26.1  41 19 14.8 0.63  -313.4  8 6.1 -0.3 0.1 14.  x
B098        0 42 27.40 40 59 36.1 0.19  -308.6  9 5.7 -0.8 0.1  8.7
B097-G159   0 42 27.48 41 25 32.1 0.34  -272.1  8 5.7 -1.0 0.1 14.  x
B099-G161   0 42 27.59 41 10 02.7 0.16  -108.1 10 5.5 -1.3 0.1 14.  x
B515      i 0 42 28.05 41 33 24.5 0.13) -276.2  2 4.7          14.  x
B056D       0 42 28.36 41 34 27.2 0.13) -188.0 12 4.8               r
B350-G162   0 42 28.44 40 24 51.1 0.12  -423.9 12 5.5 -1.4 0.1 14.  x
